year,st,stateno,state,exp_public_welfare,gini_coef,welfare_spending_percap,x_chip_pregnantwomen,z_ssi_afdc_families_payments,z_tanf_initialelig
1900,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1901,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1902,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1903,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1904,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1905,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1906,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1907,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1908,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1909,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1910,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1911,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1912,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1913,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1914,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1915,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1916,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1917,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1918,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1919,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1920,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1921,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1922,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1923,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1924,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1925,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1926,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1927,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1928,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1929,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1930,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1931,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1932,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1933,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1934,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1935,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1936,AK,2,Alaska,NA,NA,NA,NA,0,NA
1937,AK,2,Alaska,NA,NA,NA,NA,0,NA
1938,AK,2,Alaska,NA,NA,NA,NA,0,NA
1939,AK,2,Alaska,NA,NA,NA,NA,0,NA
1940,AK,2,Alaska,NA,NA,NA,NA,821.531,NA
1941,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1942,AK,2,Alaska,NA,NA,NA,NA,665.519,NA
1943,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1944,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1945,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1946,AK,2,Alaska,NA,NA,NA,NA,519.234,NA
1947,AK,2,Alaska,NA,NA,NA,NA,316.814,NA
1948,AK,2,Alaska,NA,NA,NA,NA,293.732,NA
1949,AK,2,Alaska,NA,NA,NA,NA,627.105,NA
1950,AK,2,Alaska,NA,NA,NA,NA,504.508,NA
1951,AK,2,Alaska,NA,NA,NA,NA,577.756,NA
1952,AK,2,Alaska,NA,NA,NA,NA,605.135,NA
1953,AK,2,Alaska,NA,NA,NA,NA,560.604,NA
1954,AK,2,Alaska,NA,NA,NA,NA,609.986,NA
1955,AK,2,Alaska,NA,NA,NA,NA,717.353,NA
1956,AK,2,Alaska,NA,NA,NA,NA,673.658,NA
1957,AK,2,Alaska,NA,NA,NA,NA,630.184,NA
1958,AK,2,Alaska,NA,NA,NA,NA,734.103,NA
1959,AK,2,Alaska,NA,0.44389707,NA,NA,796.52,NA
1960,AK,2,Alaska,NA,0.43875948,NA,NA,792.934,NA
1961,AK,2,Alaska,NA,0.43943149,NA,NA,840.331,NA
1962,AK,2,Alaska,NA,0.45134881,NA,NA,821.077,NA
1963,AK,2,Alaska,NA,0.41465557,NA,NA,823.153,NA
1964,AK,2,Alaska,NA,0.46589541,NA,NA,812.472,NA
1965,AK,2,Alaska,NA,0.42827147,NA,NA,820.329,NA
1966,AK,2,Alaska,NA,0.43791518,NA,NA,795.363,NA
1967,AK,2,Alaska,NA,0.45720464,NA,NA,764.001,NA
1968,AK,2,Alaska,NA,0.47632256,NA,NA,954.22,NA
1969,AK,2,Alaska,NA,0.4604508,NA,NA,798.497,NA
1970,AK,2,Alaska,NA,0.45838544,NA,NA,1078.16,NA
1971,AK,2,Alaska,NA,0.46719867,NA,NA,987.296,NA
1972,AK,2,Alaska,NA,0.46164927,NA,NA,937.885,NA
1973,AK,2,Alaska,NA,0.45824462,NA,NA,853.06,NA
1974,AK,2,Alaska,NA,0.47139853,NA,NA,978.864,NA
1975,AK,2,Alaska,NA,0.47044101,119.4300003,NA,936.26,NA
1976,AK,2,Alaska,NA,0.46386895,121.4199982,NA,910.306,NA
1977,AK,2,Alaska,NA,0.49132249,139.9100037,NA,869.834,NA
1978,AK,2,Alaska,NA,0.49437007,179.75,NA,905.869,NA
1979,AK,2,Alaska,NA,0.48813379,252.6300049,NA,829.142,NA
1980,AK,2,Alaska,NA,0.50873017,286.9400024,NA,853.587,NA
1981,AK,2,Alaska,NA,0.47148901,374.730011,NA,955.724,NA
1982,AK,2,Alaska,NA,0.49747211,388.8099976,NA,1041.95,NA
1983,AK,2,Alaska,NA,0.505189,354.5400085,NA,1155.21,NA
1984,AK,2,Alaska,NA,0.50255704,427.3399963,NA,NA,NA
1985,AK,2,Alaska,NA,0.50468951,376.230011,NA,1113,NA
1986,AK,2,Alaska,NA,0.57390326,476.7399902,NA,1117.77,NA
1987,AK,2,Alaska,NA,0.64467525,520.1500244,NA,NA,NA
1988,AK,2,Alaska,NA,0.69510776,566.3400269,NA,NA,NA
1989,AK,2,Alaska,NA,0.6674968,650.9799805,NA,NA,NA
1990,AK,2,Alaska,NA,0.67073411,669.25,NA,NA,NA
1991,AK,2,Alaska,NA,0.66460383,764.4299927,NA,NA,NA
1992,AK,2,Alaska,NA,0.68781942,864.8300171,NA,NA,NA
1993,AK,2,Alaska,NA,0.6669994,944.5200195,NA,NA,NA
1994,AK,2,Alaska,NA,0.66679198,1053.920044,NA,NA,NA
1995,AK,2,Alaska,NA,0.67123258,1069.339966,NA,NA,NA
1996,AK,2,Alaska,NA,0.66764355,1178.069946,NA,NA,1527.05
1997,AK,2,Alaska,NA,0.60664004,1219.079956,NA,NA,1539.19
1998,AK,2,Alaska,NA,0.5890373,1234.030029,NA,NA,1528.84
1999,AK,2,Alaska,NA,0.5819838,1274.209961,200,NA,1502.06
2000,AK,2,Alaska,NA,0.57478046,1459.099976,200,NA,1475
2001,AK,2,Alaska,NA,0.56509936,1615.48999,200,NA,1468.67
2002,AK,2,Alaska,NA,0.57166678,1789.319946,200,NA,1461.87
2003,AK,2,Alaska,NA,0.58108729,2016.579956,175,NA,1432.64
2004,AK,2,Alaska,NA,0.59042096,2222.969971,NA,NA,1386.11
2005,AK,2,Alaska,NA,0.58914733,2133.300049,164,NA,1342.54
2006,AK,2,Alaska,NA,0.57496226,2217.850098,NA,NA,1333.44
2007,AK,2,Alaska,NA,0.56249607,NA,154,NA,1319.49
2008,AK,2,Alaska,NA,0.56250513,NA,175,NA,1297.6
2009,AK,2,Alaska,NA,0.56697708,NA,175,NA,1373.52
2010,AK,2,Alaska,NA,0.5642215,NA,175,NA,1351.89
2011,AK,2,Alaska,NA,0.56681156,NA,175,NA,1309.97
2012,AK,2,Alaska,2018001,0.57301652,NA,175,NA,1325.96
2013,AK,2,Alaska,2084000,0.55941278,NA,NA,NA,1320.2
2014,AK,2,Alaska,2106052,NA,NA,NA,NA,NA
2015,AK,2,Alaska,2113211,NA,NA,NA,NA,NA
2016,AK,2,Alaska,2372655,NA,NA,NA,NA,NA
2017,AK,2,Alaska,NA,NA,NA,NA,NA,NA
2018,AK,2,Alaska,NA,NA,NA,NA,NA,NA
2019,AK,2,Alaska,NA,NA,NA,NA,NA,NA
2020,AK,2,Alaska,NA,NA,NA,NA,NA,NA
1900,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1901,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1902,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1903,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1904,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1905,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1906,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1907,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1908,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1909,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1910,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1911,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1912,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1913,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1914,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1915,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1916,AL,1,Alabama,NA,NA,NA,NA,NA,NA
1917,AL,1,Alabama,NA,0.39979187,NA,NA,NA,NA
1918,AL,1,Alabama,NA,0.34633201,NA,NA,NA,NA
1919,AL,1,Alabama,NA,0.38915655,NA,NA,NA,NA
1920,AL,1,Alabama,NA,0.34449083,NA,NA,NA,NA
1921,AL,1,Alabama,NA,0.34396824,NA,NA,NA,NA
1922,AL,1,Alabama,NA,0.37448102,NA,NA,NA,NA
1923,AL,1,Alabama,NA,0.38272232,NA,NA,NA,NA
1924,AL,1,Alabama,NA,0.39310178,NA,NA,NA,NA
1925,AL,1,Alabama,NA,0.43169317,NA,NA,NA,NA
1926,AL,1,Alabama,NA,0.44894397,NA,NA,NA,NA
1927,AL,1,Alabama,NA,0.45479259,NA,NA,NA,NA
1928,AL,1,Alabama,NA,0.50795484,NA,NA,NA,NA
1929,AL,1,Alabama,NA,0.46365586,NA,NA,NA,NA
1930,AL,1,Alabama,NA,0.43412733,NA,NA,NA,NA
1931,AL,1,Alabama,NA,0.41772425,NA,NA,NA,NA
1932,AL,1,Alabama,NA,0.38616806,NA,NA,NA,NA
1933,AL,1,Alabama,NA,0.39855254,NA,NA,NA,NA
1934,AL,1,Alabama,NA,0.38976052,NA,NA,NA,NA
1935,AL,1,Alabama,NA,0.38587552,NA,NA,NA,NA
1936,AL,1,Alabama,NA,0.42781773,NA,NA,294.414,NA
1937,AL,1,Alabama,NA,0.41887084,NA,NA,347.963,NA
1938,AL,1,Alabama,NA,0.43235412,NA,NA,331.975,NA
1939,AL,1,Alabama,NA,0.4090434,NA,NA,360.002,NA
1940,AL,1,Alabama,NA,0.39059657,NA,NA,359.512,NA
1941,AL,1,Alabama,NA,0.42970347,NA,NA,347.219,NA
1942,AL,1,Alabama,NA,0.44177875,NA,NA,365.477,NA
1943,AL,1,Alabama,NA,0.3888478,NA,NA,456.857,NA
1944,AL,1,Alabama,NA,0.41786271,NA,NA,522.096,NA
1945,AL,1,Alabama,NA,0.44687766,NA,NA,531.217,NA
1946,AL,1,Alabama,NA,0.45089942,NA,NA,603.97,NA
1947,AL,1,Alabama,NA,0.42142916,NA,NA,516.971,NA
1948,AL,1,Alabama,NA,0.41707563,NA,NA,553.96,NA
1949,AL,1,Alabama,NA,0.41875035,NA,NA,516.668,NA
1950,AL,1,Alabama,NA,0.42528102,NA,NA,456.948,NA
1951,AL,1,Alabama,NA,0.41092166,NA,NA,493.08,NA
1952,AL,1,Alabama,NA,0.42167059,NA,NA,497.766,NA
1953,AL,1,Alabama,NA,0.41037267,NA,NA,557.203,NA
1954,AL,1,Alabama,NA,0.40982828,NA,NA,586.48,NA
1955,AL,1,Alabama,NA,0.43188679,NA,NA,618.863,NA
1956,AL,1,Alabama,NA,0.43694463,NA,NA,384.022,NA
1957,AL,1,Alabama,NA,0.42709166,NA,NA,552.08,NA
1958,AL,1,Alabama,NA,0.4350245,NA,NA,356.462,NA
1959,AL,1,Alabama,NA,0.44193876,NA,NA,452.571,NA
1960,AL,1,Alabama,NA,0.44267604,NA,NA,486.821,NA
1961,AL,1,Alabama,NA,0.44652376,NA,NA,506.926,NA
1962,AL,1,Alabama,NA,0.44390371,NA,NA,535.457,NA
1963,AL,1,Alabama,NA,0.45212802,NA,NA,535.45,NA
1964,AL,1,Alabama,NA,0.45602435,NA,NA,513.289,NA
